answers,resps,success
A,"Ebibuuzo ebi n'eby'okureeberaho by'okutooranamo (n'ebigaruzo).

**Ekyokureeberaho 1:**

Omu n’ekibiina ky’abegyesa omu mashomero g’abaana abato nibaija kwetegereza omu mbeera za butoosha omugasho ogurikukurataho kuruga omu mutwe gw’okucweekereza eby’obutonde: “Kugamba aha bintu bikuru ebiri omu by’obutonde ebi barikucweekereza, nk’emibala, oburungo, obunene, obushushu n’ebindi.” Ni mbeera ki ey’abaana erikworeka ngu omugasho ogwo gutungwa?

A. Omuhinguzi Santiago naabaasa kuta omwanya gw'okwega, naashushaniisa amabaare g'obunene obutari bumwe.
B. Omuhimbo gw'emisana, Pablo areeba ekijiiko kandi yaareeba omushusho gwe naagira ati: ""Reeba, Pablo!""
C. Omu María omu kubanzaara, akoraaniza amataare g'emiti agari mushushani omu kashaaho.
D. Omuhanda gw'okubungana omu rurembo, Soledad naaza aha mbuto omu mikono ye, yaagira ati: ""Eziruma""

**Eky'okugarukamu: D**

**Ekyokureeberaho 2:**

Omwegyesereza omwegyesa omubanza ari kukora omurimo gw'ekibina gw'okukora aha bu умеgyezi bw'okucungura hamwe n'ekigyendererwa ky'eklassi: ""Kumanya eby'okukozesa n'omurimo gwabyo."" Okutandika omurimo, naija kuha ekiina kyona omunana, orungyebwa, n'eppere, kandi naija kubagambira kunuunuza, kureeba, kukwata, n'okureeba buri kibala. Twahiriza aha mbeera eri ahaiguru, omurimo gwaha ogu omwegyesa arikubaasa kuteekamu okukuraho abegyeswa gonde ekigyendererwa ekyagambirweho?

A. Omu omutabo ogurikugamba aha mitero y’ebibala, shaza eby’okugarukamu by’ebibuuzo ebirikubaasa kugarukwamu turikukoresa ebigyirizo: Ni kibala ki ekya ranga ya yellow? Ni kibala ki ekirikukoma? Ni kibala ki ekirikukwata kubi? Ni kibala ki ekirikunuunuuka gye?
B. Omu rupapura orukubairemu emiringo erikubaasa kworekwa n'obumwe aha bw'obwengye (oburungi/obukali, oburagwa/omuchungwa, obworobi/obukomeezi, omunungo murungi/omunungo mubi), taangira ebijanjaara omu muringo egirikukuratira embeera ezi.
C. Omu rupapura orukukwata aha mukoro ogurikworeka buri kamwe aha bwengye, shaza eby’okugarukamu by’ebibuuzo ebi: Ni bwengye ki obu orikukoresa kwetegyereza ngu ekitookye ni kiragura? Ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire? Ni bwengye ki obu orikukoresa kwetegyereza ngu ekishishwa ky’ekitookye ni kirerere? Ni bwengye ki obu orikukoresa kwetegyereza ngu omucungwa ni guhumba?
D. Omu mweshomi ogurikworeka ebishushani by'ebijuma ebi, harimu emisingi erikukurira, ogumu gurimu akamwenyu n'ogundi gurimu obusaasi, shushani eby'okugarukamu byaawe aha bibuuzo ebi: Ku waaba noorya akacweka k'omucungwa, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba nooreeba ibara ry'entege, okarikunda rundi torikukunda? Ku waaba nookora aha kikoba ky'epere, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba noohumurira omucungwa, okagukunda rundi torikukunda?

**Eky'okugarukamu: C**

**Ekyokureeberaho 3:**

Omwegyesereza omwegyesi, omugyezibwa naayenda kworeka abegi emiringo etari emwe ey'okwaanya ebintu ebikwatiraine. Ahabw'ekyo, ayorekire abegi be ecupa erimu amaizi, amabaare, amajuta, n'omunyo. Omugyezibwa aine ecupa nyingi ezitebeekanisiibwe n'ebintu ebi bimwe. Aha mirimo ei erikukurataho, niki ekira kuleetera abegi kwega aha miringo y'okwaanya ebintu ebikwatiraine, kandi nabo nibakuzya obwengye bwabo omu kucungura obuhame bw'ebirikuruga omu kunoonyereza kw'obwomeezi?

A. Omu mirwi, nibasharamu omuringo ogurikukiraho kubasa kw'ahukanisa emicwe n'obwo babihurikize ekyabaretere kwikiriza batyo.
B. Omu omwe omwe, nibataana omutaano kurugiirira omu muringo gwona ogubasa kuba gubaire gusaaniire, kandi bashwijuma obwingana bw'okubaasa kukikora.
C. Omwe-omwe, nibaha ebi barikuteekateeka aha muringo ogu bateekwa kukuratira, bagira omuringo ogw'omukago, reero bagutandika kukora.
D. Omwe-omwe, nibakurata omuringo ogworekwa omwegyesa kw'ahukanisa emicwe n'okumanya oburyo bw'okwahukanisa obukozesibwe omuri buri omwe.

**Eky'okugarukamu: B**

**Ekyokureeberaho 4:**

Garukamu ekibuuzo eki ekihikire orikukurata empandiika emwe:
Omwegyesereza omwegyesa kuhamuririra abeeshuli be amakuru g'obukorane bw'okubanza, nk'enki ekyarugirweho eki arikubaasa kukoresa kushuuruurira?

A. Enyonyi ya African hornbill etunga ebiwuka bingi omu mwabo omu kikaali kyayo, ebiirya obuceezi; omu muringo ogu, nibyo birukya obuceezi oburikwekwatanisa omu kikaali.
B. Enshojo zirimu obutakiteriya omu nda zaazo oburikubaasa kucweeka seluloosi, nukwo ogwo omugati gubaireho ahabw'enshojo zombi.
C. Ebirabyo bya orikidi nibegamiira aha miti kubaasa kutunga omushana, amaizi, n'ebirikurisa ebirungi, hatariho kubitwaara kuruga omu muti, ogutarikukwatwaho orikidi.
D. Obutakitiiria bwa Rhizobium nibutunga ebiriisa ebi burikwetaga kuruga omu mireenzi y'ebishyimbo, kandi omu mwanya gw'ekyo, obutakitiiria obu nibukwata nitrogeni ei ebimera ebi birikwetaga.

**Eky'okugarukamu: C**

Garukamu ekibuuzo ekihikire kyonyini.

Handiika enyuguta yonka y'eky'okugarukamu kyawe.

**C**",True
B,D,True
C,"D

A

C

B

A",True
B,D,True
B,"Ebibuuzo ebi n'eby'okureeberaho by'okutooranamo (n'ebigaruzo).

**Ekyokureeberaho 1:**

Omu n’ekibiina ky’abegyesa omu mashomero g’abaana abato nibaija kwetegereza omu mbeera za butoosha omugasho ogurikukurataho kuruga omu mutwe gw’okucweekereza eby’obutonde: “Kugamba aha bintu bikuru ebiri omu by’obutonde ebi barikucweekereza, nk’emibala, oburungo, obunene, obushushu n’ebindi.” Ni mbeera ki ey’abaana erikworeka ngu omugasho ogwo gutungwa?

A. Omuhinguzi Santiago naabaasa kuta omwanya gw'okwega, naashushaniisa amabaare g'obunene obutari bumwe.
B. Omuhimbo gw'emisana, Pablo areeba ekijiiko kandi yaareeba omushusho gwe naagira ati: ""Reeba, Pablo!""
C. Omu María omu kubanzaara, akoraaniza amataare g'emiti agari mushushani omu kashaaho.
D. Omuhanda gw'okubungana omu rurembo, Soledad naaza aha mbuto omu mikono ye, yaagira ati: ""Eziruma""

**Eky'okugarukamu: D**

**Ekyokureeberaho 2:**

Omwegyesereza omwegyesa omubanza ari kukora omurimo gw'ekibina gw'okukora aha bu умеgyezi bw'okucungura hamwe n'ekigyendererwa ky'eklassi: ""Kumanya eby'okukozesa n'omurimo gwabyo."" Okutandika omurimo, naija kuha ekiina kyona omunana, orungyebwa, n'eppere, kandi naija kubagambira kunuunuza, kureeba, kukwata, n'okureeba buri kibala. Twahiriza aha mbeera eri ahaiguru, omurimo gwaha ogu omwegyesa arikubaasa kuteekamu okukuraho abegyeswa bagonde ekigyendererwa ekyagambirweho?

A. Omu omutabo ogurikugamba aha mitero y’ebibala, shaza eby’okugarukamu by’ebibuuzo ebirikubaasa kugarukwamu turikukoresa ebigyirizo: Ni kibala ki ekya ranga ya yellow? Ni kibala ki ekirikukoma? Ni kibala ki ekirikukwata kubi? Ni kibala ki ekirikunuunuuka gye?
B. Omu rupapura orukubairemu emiringo erikubaasa kworekwa n'obumwe aha bw'obwengye (oburungi/obukali, oburagwa/omuchungwa, obworobi/obukomeezi, omunungo murungi/omunungo mubi), taangira ebijanjaara omu muringo egirikukuratira embeera ezi.
C. Omu rupapura orukukwata aha mukoro ogurikworeka buri kamwe aha bwengye, shaza eby’okugarukamu by’ebibuuzo ebi: Ni bwengye ki obu orikukoresa kwetegyereza ngu ekitookye ni kiragura? Ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire? Ni bwengye ki obu orikukoresa kwetegyereza ngu ekishishwa ky’ekitookye ni kirerere? Ni bwengye ki obu orikukoresa kwetegyereza ngu omucungwa ni guhumba?
D. Omu mweshomi ogurikworeka ebishushani by'ebijuma ebi, harimu emisingi erikukurira, ogumu gurimu akamwenyu n'ogundi gurimu obusaasi, shushani eby'okugarukamu byaawe aha bibuuzo ebi: Ku waaba noorya akacweka k'omucungwa, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba nooreeba ibara ry'entege, okarikunda rundi torikukunda? Ku waaba nookora aha kikoba ky'epere, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba noohumurira omucungwa, okagukunda rundi torikukunda?

**Eky'okugarukamu: C**

**Ekyokureeberaho 3:**

Omwegyesereza omwegyesi, omugyezibwa naayenda kworeka abegi emiringo etari emwe ey'okwaanya ebintu ebikwatiraine. Ahabw'ekyo, ayorekire abegi be ecupa erimu amaizi, amabaare, amajuta, n'omunyo. Omugyezibwa aine ecupa nyingi ezitebeekanisiibwe n'ebintu ebi bimwe. Aha mirimo ei erikukurataho, niki ekira kuleetera abegi kwega aha miringo y'okwaanya ebintu ebikwatiraine, kandi nabo nibakuzya obwengye bwabo omu kucungura obuhame bw'ebirikuruga omu kunoonyereza kw'obwomeezi?

A. Omu mirwi, nibasharamu omuringo ogurikukiraho kubasa kw'ahukanisa emicwe n'obwo babihurikize ekyabaretere kwikiriza batyo.
B. Omu omwe omwe, nibataana omutaano kurugiirira omu muringo gwona ogubasa kuba gubaire gusaaniire, kandi bashwijuma obwingana bw'okubaasa kukikora.
C. Omwe-omwe, nibaha ebi barikuteekateeka aha muringo ogu bateekwa kukuratira, bagira omuringo ogw'omukago, reero bagutandika kukora.
D. Omwe-omwe, nibakurata omuringo ogworekwa omwegyesa kw'ahukanisa emicwe n'okumanya oburyo bw'okwahukanisa obukozesibwe omuri buri omwe.

**Eky'okugarukamu: B**

**Ekyokureeberaho 4:**

Garukamu ekibuuzo eki ekihikire orikukurata empandiika emwe:
Omuhereza w’ebyamagara omu kwesomesa okuhikiirira, omwegyesa wa bayolojiya atwariramu ekibuuzo ekirikukurataho: ‘Ni nkyukakyuuka ki ez’omubiri eziraareebwa omu mukazi orikuheebwa omuti ogurikuzibira omurimo gwa GnRH? Zigambe.’ Ni ndagiriro ki y’okushomesa erikukwatwaho n’ekintu eki ekitebeekanisiibwe?

A. Shoborora omuringo gw'omukora gw'emishumurizo ogurikukwata aha nkyukakyuuka z'obutoosha.
B. Shoborora oku gavumenti y'emihormone y'omu hypothalamus aha mutwaro gw'ebiro by'omushana omu ibyairo n'omunda y'omukazi
C. Shobora omukwenda gw'ebintu ebirikukurataana omu mutwaro gw'amagi, orikugambira aha kicweka ky'obuhumbo bw'amagi, okurekurwa kw'eigi, n'ekicweka ky'omubiri ogurikurekurwa.
D. Rondookereza orutondeekye rw'ebirikurugaho omu mutumbi gw'omukazi omu bwire bw'okucwecera, eky'omutumbi kweyongyera, hamwe n'eky'omutumbi kureetera ebintu birugaho.

**Eky'okugarukamu: B**

**Garukamu ekibuuzo ekihikire kyonyini.**

**Hemera ahanyuguta honka.**

**B**",True
B,"D
B
C
D",True
D,"D

B

C

D",True
C,D,True
A,"D
B
C
D",True
B,"D

B

C

A",True
C,"D

A

C

B",True
C,"Ebibuuzo ebi n'eby'okureeberaho by'okutooranamo (n'ebigaruzo).

**Eky'okureeberaho 1:**

Omu n’ekibiina ky’abegyesa omu mashomero g’abaana abato nibaija kwetegereza omu mbeera za butoosha omugasho ogurikukurataho kuruga omu mutwe gw’okucweekereza eby’obutonde: “Kugamba aha bintu bikuru ebiri omu by’obutonde ebi barikucweekereza, nk’emibala, oburungo, obunene, obushushu n’ebindi.” Ni mbeera ki ey’abaana erikworeka ngu omugasho ogwo gutungwa?

A. Omuhinguzi Santiago naabaasa kuta omwanya gw'okwega, naashushaniisa amabaare g'obunene obutari bumwe.
B. Omuhimbo gw'emisana, Pablo areeba ekijiiko kandi yaareeba omushusho gwe naagira ati: ""Reeba, Pablo!""
C. Omu María omu kubanzaara, akoraaniza amataare g'emiti agari mushushani omu kashaaho.
D. Omuhanda gw'okubungana omu rurembo, Soledad naaza aha mbuto omu mikono ye, yaagira ati: ""Eziruma""

**Eky'okugarukamu: D**

**Eky'okureeberaho 2:**

Omwegyesereza omwegyesa omubanza ari kukora omurimo gw'ekibina gw'okukora aha bu умеgyezi bw'okucungura hamwe n'ekigyendererwa ky'eklassi: ""Kumanya eby'okukozesa n'omurimo gwabyo."" Okutandika omurimo, naija kuha ekiina kyona omunana, orungyebwa, n'eppere, kandi naija kubagambira kunuunuza, kureeba, kukwata, n'okureeba buri kibala. Twahiriza aha mbeera eri ahaiguru, omurimo gwaha ogu omwegyesa arikubaasa kuteekamu okukuraho abegyeswa gonde ekigyendererwa ekyagambirweho?

A. Omu omutabo ogurikugamba aha mitero y’ebibala, shaza eby’okugarukamu by’ebibuuzo ebirikubaasa kugarukwamu turikukoresa ebigyirizo: Ni kibala ki ekya ranga ya yellow? Ni kibala ki ekirikukoma? Ni kibala ki ekirikukwata kubi? Ni kibala ki ekirikunuunuuka gye?
B. Omu rupapura orukubairemu emiringo erikubaasa kworekwa n'obumwe aha bw'obwengye (oburungi/obukali, oburagwa/omuchungwa, obworobi/obukomeezi, omunungo murungi/omunungo mubi), taangira ebijanjaara omu muringo egirikukuratira embeera ezi.
C. Omu rupapura orukukwata aha mukoro ogurikworeka buri kamwe aha bwengye, shaza eby’okugarukamu by’ebibuuzo ebi: Ni bwengye ki obu orikukoresa kwetegyereza ngu ekitookye ni kiragura? Ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire? Ni bwengye ki obu orikukoresa kwetegyereza ngu ekishishwa ky’ekitookye ni kirerere? Ni bwengye ki obu orikukoresa kwetegyereza ngu omucungwa ni guhumba?
D. Omu mweshomi ogurikworeka ebishushani by'ebijuma ebi, harimu emisingi erikukurira, ogumu gurimu akamwenyu n'ogundi gurimu obusaasi, shushani eby'okugarukamu byaawe aha bibuuzo ebi: Ku waaba noorya akacweka k'omucungwa, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba nooreeba ibara ry'entege, okarikunda rundi torikukunda? Ku waaba nookora aha kikoba ky'epere, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba noohumurira omucungwa, okagukunda rundi torikukunda?

**Eky'okugarukamu: C**

**Eky'okureeberaho 3:**

Omwegyesereza omwegyesi, omugyezibwa naayenda kworeka abegi emiringo etari emwe ey'okwaanya ebintu ebikwatiraine. Ahabw'ekyo, ayorekire abegi be ecupa erimu amaizi, amabaare, amajuta, n'omunyo. Omugyezibwa aine ecupa nyingi ezitebeekanisiibwe n'ebintu ebi bimwe. Aha mirimo ei erikukurataho, niki ekira kuleetera abegi kwega aha miringo y'okwaanya ebintu ebikwatiraine, kandi nabo nibakuzya obwengye bwabo omu kucungura obuhame bw'ebirikuruga omu kunoonyereza kw'obwomeezi?

A. Omu mirwi, nibasharamu omuringo ogurikukiraho kubasa kw'ahukanisa emicwe n'obwo babihurikize ekyabaretere kwikiriza batyo.
B. Omu omwe omwe, nibataana omutaano kurugiirira omu muringo gwona ogubasa kuba gubaire gusaaniire, kandi bashwijuma obwingana bw'okubaasa kukikora.
C. Omwe-omwe, nibaha ebi barikuteekateeka aha muringo ogu bateekwa kukuratira, bagira omuringo ogw'omukago, reero bagutandika kukora.
D. Omwe-omwe, nibakurata omuringo ogworekwa omwegyesa kw'ahukanisa emicwe n'okumanya oburyo bw'okwahukanisa obukozesibwe omuri buri omwe.

**Eky'okugarukamu: B**

**Eky'okureeberaho 4:**

Garukamu ekibuuzo eki ekihikire orikukurata empandiika emwe:
Ni ki eki aha mirimo egi erikwemerera abeeshuri kushwijuma omu bwijwire iteeka ry'okukuumira amaani g'eby'okutwara?

A. Nirikira omuringo ekipinga erikuzingirira aha rubaju orw'ahaiguru erikwendekyere.
B. Kurabura omuringo gw'okukozesa ekikozeso ekirikuhikiire, oreekoodi omwendeso ogu akafera kahitsya ahansi obu karugwa aha meza.
C. Kurora omugisha gw'ekintu ekiri nk'enjuba (sphere) kurabira omuhanda ogwetegyereize nk'enjoka (U-shaped track), orore obureingwa bwaiguru obu kirikushikaaho omu bwire oburikugyenda.
D. Kuruga omuhendo gw'amaani g'okuhingura n'amaani g'okugumira omubumbi ogurikugyenda aha rugyendo rw'omugaiga ogutaine kabiishwa kuruga omu kashushani ka kompyuta.

**Eky'okugarukamu: C**

Handiika enyuguta yonka y'eky'okugarukamu kyawe.
**C**",True
C,D,True
B,"D
B
C
A",True
D,D,True
C,D,True
B,"D

B

C

D

A",True
C,D,True
B,D,True
C,D,True
C,D,True
C,D,True
A,"D

B

C

A

C",True
C,D,True
C,D,True
A,"D
B
C
B",True
C,D,True
B,D,True
C,D,True
C,"D
B
C
A",True
B,"D
B
D
B",True
C,D,True
A,"D

B

C

A",True
A,"Ebibuuzo ebi n'eby'okureeberaho by'okutooranamo (n'ebigaruzo).

**Ekyokureeberaho 1:**

Omu n’ekibiina ky’abegyesa omu mashomero g’abaana abato nibaija kwetegereza omu mbeera za butoosha omugasho ogurikukurataho kuruga omu mutwe gw’okucweekereza eby’obutonde: “Kugamba aha bintu bikuru ebiri omu by’obutonde ebi barikucweekereza, nk’emibala, oburungo, obunene, obushushu n’ebindi.” Ni mbeera ki ey’abaana erikworeka ngu omugasho ogwo gutungwa?

A. Omuhinguzi Santiago naabaasa kuta omwanya gw'okwega, naashushaniisa amabaare g'obunene obutari bumwe.
B. Omuhimbo gw'emisana, Pablo areeba ekijiiko kandi yaareeba omushusho gwe naagira ati: ""Reeba, Pablo!""
C. Omu María omu kubanzaara, akoraaniza amataare g'emiti agari mushushani omu kashaaho.
D. Omuhanda gw'okubungana omu rurembo, Soledad naaza aha mbuto omu mikono ye, yaagira ati: ""Eziruma""

**Eky'okugarukamu: D**

**Ekyokureeberaho 2:**

Omwegyesereza omwegyesa omubanza ari kukora omurimo gw'ekibina gw'okukora aha bu умеgyezi bw'okucungura hamwe n'ekigyendererwa ky'eklassi: ""Kumanya eby'okukozesa n'omurimo gwabyo."" Okutandika omurimo, naija kuha ekiina kyona omunana, orungyebwa, n'eppere, kandi naija kubagambira kunuunuza, kureeba, kukwata, n'okureeba buri kibala. Twahiriza aha mbeera eri ahaiguru, omurimo gwaha ogu omwegyesa arikubaasa kuteekamu okukuraho abegyeswa gonde ekigyendererwa ekyagambirweho?

A. Omu omutabo ogurikugamba aha mitero y’ebibala, shaza eby’okugarukamu by’ebibuuzo ebirikubaasa kugarukwamu turikukoresa ebigyirizo: Ni kibala ki ekya ranga ya yellow? Ni kibala ki ekirikukoma? Ni kibala ki ekirikukwata kubi? Ni kibala ki ekirikunuunuuka gye?
B. Omu rupapura orukubairemu emiringo erikubaasa kworekwa n'obumwe aha bw'obwengye (oburungi/obukali, oburagwa/omuchungwa, obworobi/obukomeezi, omunungo murungi/omunungo mubi), taangira ebijanjaara omu muringo egirikukuratira embeera ezi.
C. Omu rupapura orukukwata aha mukoro ogurikworeka buri kamwe aha bwengye, shaza eby’okugarukamu by’ebibuuzo ebi: Ni bwengye ki obu orikukoresa kwetegyereza ngu ekitookye ni kiragura? Ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire? Ni bwengye ki obu orikukoresa kwetegyereza ngu ekishishwa ky’ekitookye ni kirerere? Ni bwengye ki obu orikukoresa kwetegyereza ngu omucungwa ni guhumba?
D. Omu mweshomi ogurikworeka ebishushani by'ebijuma ebi, harimu emisingi erikukurira, ogumu gurimu akamwenyu n'ogundi gurimu obusaasi, shushani eby'okugarukamu byaawe aha bibuuzo ebi: Ku waaba noorya akacweka k'omucungwa, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba nooreeba ibara ry'entege, okarikunda rundi torikukunda? Ku waaba nookora aha kikoba ky'epere, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba noohumurira omucungwa, okagukunda rundi torikukunda?

**Eky'okugarukamu: C**

**Ekyokureeberaho 3:**

Omwegyesereza omwegyesi, omugyezibwa naayenda kworeka abegi emiringo etari emwe ey'okwaanya ebintu ebikwatiraine. Ahabw'ekyo, ayorekire abegi be ecupa erimu amaizi, amabaare, amajuta, n'omunyo. Omugyezibwa aine ecupa nyingi ezitebeekanisiibwe n'ebintu ebi bimwe. Aha mirimo ei erikukurataho, niki ekira kuleetera abegi kwega aha miringo y'okwaanya ebintu ebikwatiraine, kandi nabo nibakuzya obwengye bwabo omu kucungura obuhame bw'ebirikuruga omu kunoonyereza kw'obwomeezi?

A. Omu mirwi, nibasharamu omuringo ogurikukiraho kubasa kw'ahukanisa emicwe n'obwo babihurikize ekyabaretere kwikiriza batyo.
B. Omu omwe omwe, nibataana omutaano kurugiirira omu muringo gwona ogubasa kuba gubaire gusaaniire, kandi bashwijuma obwingana bw'okubaasa kukikora.
C. Omwe-omwe, nibaha ebi barikuteekateeka aha muringo ogu bateekwa kukuratira, bagira omuringo ogw'omukago, reero bagutandika kukora.
D. Omwe-omwe, nibakurata omuringo ogworekwa omwegyesa kw'ahukanisa emicwe n'okumanya oburyo bw'okwahukanisa obukozesibwe omuri buri omwe.

**Eky'okugarukamu: B**

**Ekyokureeberaho 4:**

Garukamu ekibuuzo eki ekihikire orikukurata empandiika emwe:
Shoma omwegyesa arikureeba embeera egi:
Omwegyesa w'abaana abato areeba Mariana, orikufukamira omu rubaraza aine endorerwamu omu mukono gwe. Areeba omuishwa ogwo naayimutsya amabaare kandi areeba ahansi yaago, nashuuruura ahansi y'ebimera, kandi naggyaho ebikooko by'omutsyo. Omwegyesa amwiira haihi, amubuuza eki arikukora, kandi Mariana amushoboorora ngu arikushaka enjojo z'amabaare ahabw'okuba naazikunda kuziingazinga omu mikono ye. Omwegyesa amubuuza, ""Noora ngu shi enjojo z'amabaare nibakiira zita?""
Bukumanyirizi ki obw'obuhangwa omwegyesa arikwesiga kuteera aha mutwe Mariana obu arikumuza eki kibuuzo?

A. Okuragura
B. Kureeba
C. Kugyezaho
D. Okugyenda omu kubumbura ebikumire

**Eky'okugarukamu: B**

**Hemera ahanyuguta honka:**

B",True
D,"Ebibuuzo ebi n'eby'okureeberaho by'okutooranamo (n'ebigaruzo).

**Ekyokureeberaho 1:**

Omu n’ekibiina ky’abegyesa omu mashomero g’abaana abato nibaija kwetegereza omu mbeera za butoosha omugasho ogurikukurataho kuruga omu mutwe gw’okucweekereza eby’obutonde: “Kugamba aha bintu bikuru ebiri omu by’obutonde ebi barikucweekereza, nk’emibala, oburungo, obunene, obushushu n’ebindi.” Ni mbeera ki ey’abaana erikworeka ngu omugasho ogwo gutungwa?

A. Omuhinguzi Santiago naabaasa kuta omwanya gw'okwega, naashushaniisa amabaare g'obunene obutari bumwe.
B. Omuhimbo gw'emisana, Pablo areeba ekijiiko kandi yaareeba omushusho gwe naagira ati: ""Reeba, Pablo!""
C. Omu María omu kubanzaara, akoraaniza amataare g'emiti agari mushushani omu kashaaho.
D. Omuhanda gw'okubungana omu rurembo, Soledad naaza aha mbuto omu mikono ye, yaagira ati: ""Eziruma""

**Eky'okugarukamu: D**

**Ekyokureeberaho 2:**

Omwegyesereza omwegyesa omubanza ari kukora omurimo gw'ekibina gw'okukora aha bu умеgyezi bw'okucungura hamwe n'ekigyendererwa ky'eklassi: ""Kumanya eby'okukozesa n'omurimo gwabyo."" Okutandika omurimo, naija kuha ekiina kyona omunana, orungyebwa, n'eppere, kandi naija kubagambira kunuunuza, kureeba, kukwata, n'okureeba buri kibala. Twahiriza aha mbeera eri ahaiguru, omurimo gwaha ogu omwegyesa arikubaasa kuteekamu okukuraho abegyeswa bagonde ekigyendererwa ekyagambirweho?

A. Omu omutabo ogurikugamba aha mitero y’ebibala, shaza eby’okugarukamu by’ebibuuzo ebirikubaasa kugarukwamu turikukoresa ebigyirizo: Ni kibala ki ekya ranga ya yellow? Ni kibala ki ekirikukoma? Ni kibala ki ekirikukwata kubi? Ni kibala ki ekirikunuunuuka gye?
B. Omu rupapura orukubairemu emiringo erikubaasa kworekwa n'obumwe aha bw'obwengye (oburungi/obukali, oburagwa/omuchungwa, obworobi/obukomeezi, omunungo murungi/omunungo mubi), taangira ebijanjaara omu muringo egirikukuratira embeera ezi.
C. Omu rupapura orukukwata aha mukoro ogurikworeka buri kamwe aha bwengye, shaza eby’okugarukamu by’ebibuuzo ebi: Ni bwengye ki obu orikukoresa kwetegyereza ngu ekitookye ni kiragura? Ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire? Ni bwengye ki obu orikukoresa kwetegyereza ngu ekishishwa ky’ekitookye ni kirerere? Ni bwengye ki obu orikukoresa kwetegyereza ngu omucungwa ni guhumba?
D. Omu mweshomi ogurikworeka ebishushani by'ebijuma ebi, harimu emisingi erikukurira, ogumu gurimu akamwenyu n'ogundi gurimu obusaasi, shushani eby'okugarukamu byaawe aha bibuuzo ebi: Ku waaba noorya akacweka k'omucungwa, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba nooreeba ibara ry'entege, okarikunda rundi torikukunda? Ku waaba nookora aha kikoba ky'epere, okahurira omuhindo gw'okushemererwa rundi ogw'obusaasi? Ku waaba noohumurira omucungwa, okagukunda rundi torikukunda?

**Eky'okugarukamu: C**

**Ekyokureeberaho 3:**

Omwegyesereza omwegyesi, omugyezibwa naayenda kworeka abegi emiringo etari emwe ey'okwaanya ebintu ebikwatiraine. Ahabw'ekyo, ayorekire abegi be ecupa erimu amaizi, amabaare, amajuta, n'omunyo. Omugyezibwa aine ecupa nyingi ezitebeekanisiibwe n'ebintu ebi bimwe. Aha mirimo ei erikukurataho, niki ekira kuleetera abegi kwega aha miringo y'okwaanya ebintu ebikwatiraine, kandi nabo nibakuzya obwengye bwabo omu kucungura obuhame bw'ebirikuruga omu kunoonyereza kw'obwomeezi?

A. Omu mirwi, nibasharamu omuringo ogurikukiraho kubasa kw'ahukanisa emicwe n'obwo babihurikize ekyabaretere kwikiriza batyo.
B. Omu omwe omwe, nibataana omutaano kurugiirira omu muringo gwona ogubasa kuba gubaire gusaaniire, kandi bashwijuma obwingana bw'okubaasa kukikora.
C. Omwe-omwe, nibaha ebi barikuteekateeka aha muringo ogu bateekwa kukuratira, bagira omuringo ogw'omukago, reero bagutandika kukora.
D. Omwe-omwe, nibakurata omuringo ogworekwa omwegyesa kw'ahukanisa emicwe n'okumanya oburyo bw'okwahukanisa obukozesibwe omuri buri omwe.

**Eky'okugarukamu: B**

**Ekyokureeberaho 4:**

Garukamu ekibuuzo eki ekihikire orikukurata empandiika emwe:
Omwegyesereza naayenda kumanya yaaba abeeshuri beine obushoboorozi bw’okutebeekanisa omurimo gw’okukora ebiteeso kurugiirira aha kibuuzo eki baheebwa. Aha mirimo ekurikukurira etegyeka ki eyaaba neyikiriza ekigyendererwa eki kucungurwa?

A. Nibarikiriza ebishushani n'okugyayo amakuru omuri byo
B. Nibarikoresa kandi bashwijuma eby'okureeberaho kureeta obuhabuzi bwabo.
C. Nibarikana ebikaguzo bya saayansi n'ebitari bya saayansi
D. Nibarikira kushobora kwerengyesa n'empindahinduka ezirikwejumburwa n'ezitarikwejumburwa omu kunoonyereza

**Eky'okugarukamu: B**

Handiika enyuguta yonka y'eky'okugarukamu kyawe.
**B**",True
D,"D

B

D",True
